Ingredient;Supplier;Cost;SizeKg;SizeUnits
ARROSTO DI TACCHINO;CDA;36,33;4,2;1
BACON;CDA;9,73;1;1
ACETO DI VINO;S.M. SAUMI;5,33;8,2;1
BRESAOLA;CDA;9,8;0,3;1
BRESAOLA;CDA;0;1;1
ALETTE DI POLLO;SURGEL;6,93;1;1
ALETTE DI POLLO;S.M. SAUMI;8,5;1;1
ANELLI CIPOLLA;S.M. SAUMI;4,9;1;1
ANELLI DI CIPOLLA;SURGEL;6,59;1;1
ANELLI DI CIPOLLA;SURGEL;7,29;1;1
COPPA;CDA;4,77;0,3;1
ARROSTO DI TACCHINO;SURGEL;18,5;2;1
MORTADELLA;CDA;13,97;2,8;1
ARROSTO DI TACCHINO;G. SALUMIFICI;19,8;2;1
ARROSTO DI TACCHINO;G. SALUMIFICI;0;0,15;1
ARROSTO DI TACCHINO;S.M. SAUMI;14,18;2,25;1
MORTADELLA;CDA;3,25;0,3;1
BACON;SURGEL;16,11;0,5;1
BACON;SURGEL;9,99;1,5;1
BACON;SURGEL;0;0.5;1
PANCETTA;CDA;0;1;1
BACON PANCETTA A FETTE;S.M. SAUMI;4,98;0,5;1
PANCETTA;CDA;3,8;0,3;1
BERTOLACCI;SURGEL;28,84;2,3;1
BITTO DOP;SURGEL;68,85;3;1
BRACIOLE DI MAIALE AFFUMICATE;SURGEL;3,26;0,66;1
BRATEN SPECK;SURGEL;63,35;5,24;1
PROSCIUTTO COTTO;CDA;3,19;0,3;1
PROSCIUTTO COTTO;CDA;0;1;1
BRESAOLA;SURGEL;28,25;1,5;1
BRETZEL;SURGEL;0;1;1
PROSCIUTTO COTTO;CDA;4,19;0,3;1
PROSCIUTTO CRUDO;CDA;5,26;0,3;1
BRIE;SURGEL;7,34;1,2;1
BRIE;S.M. SAUMI;4,95;0,9;1
PROSCIUTTO CRUDO;CDA;8,48;0,5;1
PROSCIUTTO CRUDO;CDA;13,43;1,4;1
SALAME;CDA;3,83;0,3;1
CANEDERLI - SPECK;SURGEL;0;1;1
CANEDERLI - SPINACI;SURGEL;0;1;1
CAPPUCCINO CAKE;SURGEL;15,13;1,7;1
CASERA DOP;SURGEL;20,8;2;1
SALAME;CDA;0;1;1
CAVOLO CAPPUCCIO ROSSO;SURGEL;6,69;0,8;1
CEDDAR;METRO;7,18;1,082;1
CEDDAR;SURGEL;18,69;2,165;1
CHEDDAR;METRO;8,99;1,08;1
CHEDDAR;METRO;0;1;1
CHEDDAR;S.M. SAUMI;15,8;2,125;1
CHEESKAKE MONTEROSA;SURGEL;20,35;1,25;1
CHICKEN BURGER;SURGEL;51,24;6;1
CHILI MIX;SURGEL;4,61;0,4;1
CHOCOLATE CAKE;SURGEL;15,13;1,7;1
SALMONE;CDA;0;1;1
CIPOLLE CARAMELLATE;SURGEL;5,74;0,8;1
SPECK;CDA;4,3;0,3;1
SPECK;CDA;4,64;0,3;1
CODE DI GAMBREO ARGENTINI;SURGEL;29,75;1;1
SPECK;CDA;25,74;3,3;1
COTOLETTA DI MAIALE MAXI;SURGEL;56,26;6,3;1
COTOLETTA DI MAIALE MAXI;SURGEL;25,11;3;1
COTOLETTA DI POLLO;SURGEL;27,56;2,94;1
COTOLETTA DI POLLO;SURGEL;55,98;6;1
COTTO;S.M. SAUMI;19,2;4;1
TONNO;CDA;1,52;0,12;1
CRAUTI;SURGEL;16,63;5,1;1
PATATINE;CDA;0;0,2;1
SPAGNOLETTE;CDA;22,5;5;1
CREMA NOCI;S.M. SAUMI;8,5;1,07;1
CROCCHETTE DI PATATE;SURGEL;6,64;2;1
CROCCHETTE DI POLLO;SURGEL;27,75;2;1
CROCCHETTE DI POLLO;SURGEL;18,38;1,5;1
CROCCHETTE DI POLLO;SURGEL;7,25;1;1
CROCCHETTE DI POLLO;SURGEL;21,45;2;1
CRUDO MATTONELLA;S.M. SAUMI;19,75;2,5;1
DOLCIFICANTE;MOKAVI;0;1;1
ZUCCHERO DI CANNA LIQUIDO;CDA;6;1;1
EDAMER;SURGEL;13,32;3;1
EDAMER;S.M. SAUMI;15,64;3,066;1
EDAMMER;METRO;0;1;1
GAMBERETTI;CDA;14,84;1,5;1
FAGOTTINI DI ROSTI;SURGEL;15;1;1
FAJITAS MIX;SURGEL;6,95;0,5;1
FILETTI DI BACCALA';SURGEL;15,33;1;1
FIORI DI ZUCCA IN PASTELLA;SURGEL;44,76;4;1
FISH & CIPS;SURGEL;12,78;1;1
FISH BURGER;SURGEL;46,75;3,13;1
FOCACCIA;SURGEL;0;1;1
FOCACCIA;SURGEL;27;3;1
FORMAGGELLA DEL LUINESE;S.M. SAUMI;33,6;2;1
FORMAGGIO BIRRA;S.M. SAUMI;11,7;1;1
HAMBURGER;CDA;16,56;2,4;1
HAMBURGER CHIANINA;CDA;23,33;1,6;1
PULLED PORK;CDA;5,38;0,55;1
BASILICO;CDA;3,05;0,12;1
BURRO;CDA;0;1;1
GAMBRETTI JUMBO;CDA;13,28;0,9;1
FORMAGGIO SPALMABILE;METRO;0;1;1
FRITTELLE ALLA PIZZAIOLA;SURGEL;7,09;1,5;1
FRITTELLE ZUCCHINE E GAMBERI;SURGEL;7,71;1,5;1
FRITTO DI MARE CON VERDURE;SURGEL;14,15;1;1
INSALATA;CDA;2,6;1;1
MENTA;CDA;0;1;1
RUCOLA;CDA;1,6;0,2;1
ASIAGO;CDA;21,24;2,4;1
GELATO - CREMA - CIOCCOLATO;SURGEL;14,4;2,6;1
GNOCCO FRITTO;SURGEL;4,12;1;1
GORGONZOLA;S.M. SAUMI;0;1,5;1
BRIE;CDA;0;1;1
BRIE;CDA;0;1;1
GORGONZOLA;S.M. SAUMI;0;1,5;1
GORGONZOLA;SURGEL;11,64;1,5;1
GORGONZOLA OLIOLI;S.M. SAUMI;9,75;1,5;1
BURRATA;CDA;2,56;0,25;1
HAMBURGER;SURGEL;28,4;4;1
HAMBURGER ANGUS;S.M. SAUMI;109;10;1
HAMBURGER TARTARE;SURGEL;1,85;0,16;1
HAMBURGER ANGUS IRLANDESE;SURGEL;453,92;3,9;1
HAMBURGER SMOKED GE;SURGEL;39,5;4;1
CASTELMAGNO;CDA;22,13;1,5;1
HAMBURGER FASSONA;SURGEL;48,82;4,32;1
HAMBURGER FASSONA GE;METRO;0;1;1
HAMBURGER SCOTTONA;S.M. SAUMI;6,8;0,8;1
HAMBURGER VEGETALE;SURGEL;15,05;2;1
EDAMER;CDA;12,13;3,15;1
FORMAGGIO CAPRINO DI CAPRA;CDA;0,92;0,08;1
JALAPENO;S.M. SAUMI;11,5;1;1
JALAPENO;S.M. SAUMI;11,5;1;1
JALAPENOS;SURGEL;10,78;2,8;1
FORMAGGIO CAPRINO DI VACCA;CDA;0,7;0,08;1
KETCHUP;SURGEL;2,71;1;1
FORMAGGIO GRATTUGGIATO;CDA;3,9;0,5;1
FORMAGGIO PIZZOCCHERINA;CDA;16,33;2,5;1
KETCHUP - BUSTINE;SURGEL;6,84;1,5;1
KETKUP;S.M. SAUMI;2,98;1;1
KETKUP - MONODOSE;S.M. SAUMI;0;1;1
LARDO;S.M. SAUMI;19,96;2,01;1
LARDO PIACENTINO;SURGEL;19,28;2;1
FORMAGGIO SPALMABILE;CDA;15,94;2;1
GORGONZOLA;CDA;0;1;1
GORGONZOLA;CDA;1,88;0,15;1
MOZZARELLA;CDA;6,84;1;1
MOZZARELLA;CDA;0;1;1
MOZZARELLA;CDA;0,48;0,1;1
MAIONESE;SURGEL;3,09;1;1
MAIONESE;S.M. SAUMI;0;1;1
MOZZARELLA DI BUFALA;CDA;1,31;0,13;1
MOZZARELLA DI BUFALA;CDA;2,62;0,25;1
MAIONESE - BUSTINE;SURGEL;6,99;1,5;1
MAIONESE - BUSTINE;S.M. SAUMI;0;1;1
PROVOLA;CDA;8,35;1;1
MELANZANE;SURGEL;4,44;4,44;1
PROVOLA - SCAMORZA;CDA;16,46;2,8;1
MERINGATA;SURGEL;14,18;1;1
MEZZO POLLO ALLO SPIEDO;SURGEL;40,19;4,5;1
STRACCIATELLA;CDA;2,51;0,25;1
MIELE;S.M. SAUMI;0;1;1
MIELE - TUBETTO;TIGROS;0;1;1
TOMA PIEMONTESE;CDA;17,93;2,4;1
MONOPORZIONE BACIO DI DAMA;SURGEL;13,11;1,08;1
MONOPORZIONE CHEESKAKE;SURGEL;13,11;1,08;1
MORTADELLA;SURGEL;13,71;3;1
MORTADELLA;G. SALUMIFICI;10;2;1
MORTADELLA;G. SALUMIFICI;0;1;1
TOMA VAL SESIA;CDA;16,7;2,14;1
TOMINO;CDA;10,73;1,23;1
MOZARELLA STIC;S.M. SAUMI;8,95;1;1
OLIO FRITTURA;CDA;17,3;10;1
OLIO FRITTURA;CDA;5,4;5;1
OLIO FRITTURA;CDA;29,25;25;1
MOZZARELLA;SURGEL;5,25;1;1
MOZZARELLA - FIOR DI LATTE;TIGROS;2,02;0,375;1
MOZZARELLA CILIEGINA;SURGEL;27,56;4;1
BRUSCHETTE;CDA;0;0,4;1
PIADINE;CDA;0;1;1
MOZZARELLA DI BUFALA;SURGEL;16,97;1,5;1
MOZZARELLA DI BUFALA;S.M. SAUMI;9,5;1;1
HAMBURGER DI SCOTTONA;S.M. SAUMI;6,8;0,8;1
MOZZARELLA FIOR;S.M. SAUMI;17;2;1
MOZZARELLA FIOR;S.M. SAUMI;0,59;1;1
MOZZARELLA STICK;SURGEL;12,57;1;1
MOZZARELLINE;SURGEL;7,94;1;1
CREMA ALLE NOCI;CDA;0;0,5;1
KETCHUP - BUSTINE;CDA;6,1;1,22;1
LATTE;CDA;0,99;1;1
OLIO EXTRAVERGINE;S.M. SAUMI;7;0,75;1
OLIO EXTRAVERGINE - PEPERONCINO;S.M. SAUMI;2,3;2,5;1
MAIONESE;CDA;0;1;1
OLIO EXTRAVERGINE;CDA;3,1;0,75;1
OLIO FRIENN - 20;S.M. SAUMI;49,95;20;1
PANNA SPAY;CDA;1,49;0,25;1
PATE' D'OLIVE NERE;CDA;0;1;1
SALSA BBQ;CDA;5,29;1;1
OLIO GIRASOLE;S.M. SAUMI;19;10;1
OLIVE ALL'ASCOLANA;SURGEL;7,47;1;1
SALSA GUACAMOLE;CDA;8,14;0,8;1
OLIVE LATTA;SURGEL;64,19;1,7;1
SALSA HOT CHILI;CDA;1,18;0,25;1
PANCETTA;SURGEL;10,31;1,5;1
SALSA SENAPE;CDA;0;1;1
SALSA SMOKED BACON;CDA;3,06;0,875;1
PANCETTA;SURGEL;22,58;2;1
PANCETTA AFFUMICATA COTTA;SURGEL;11,11;1;1
PANCETTA COPPATA;S.M. SAUMI;18,25;1,53;1
PANCETTA OSSOLANA;S.M. SAUMI;29,75;2,5;1
PUCCIA;SURGEL;21;3,75;1
PANE - GALEONI;SURGEL;9,08;2,65;1
PANE - HAMBURGER GIOTTO;SURGEL;27,73;6,24;1
PANE HAMBURGER NERO;SURGEL;24,32;3,3;1
PANE HAMBURGER SENZA SESAMO;SURGEL;15,46;3,3;1
PANE HAMBURGER SESAMO;SURGEL;0;1;1
PANE HAMBURGER SESAMO;SURGEL;0;1;1
SALSA TARTARA;CDA;0,99;0,235;1
SUGO DI POMODORI;CDA;0;0,68;1
PANINETTI MIX;SURGEL;48,44;4,032;1
SUGO DI POMODORI;CDA;0,66;0,4;1
TOPPING AL CARAMELLO;CDA;0;1;1
PANZEROTTI POMODORO MOZZARELLA;SURGEL;6,63;1;1
ACETO BALSAMICO - BUSTINE;CDA;12,36;0,99;1
ACETO BALSMICO GLASSA;CDA;0;1;1
PASTA SFOGLIA;ESSELUNGA;0,56;0,23;1
PATATE;SURGEL;5,56;2,5;1
PATATE;SURGEL;6,58;2,5;1
CIPOLLE IN ACETO DI VINO ROSSO;CDA;2,09;0,8;1
PATATINE FRITTE;S.M. SAUMI;5,25;2,5;1
CIPOLLOTTI;CDA;1,34;0,8;1
PECORINO ROMANO;S.M. SAUMI;21,6;2;1
PECORINO SICILIANO;S.M. SAUMI;25,5;2,802;1
PENNANERA;SURGEL;33,99;3,5;1
PEPERONI;SURGEL;4,94;1;1
ACETO DI VINO BIANCO;CDA;0,6;1;1
PIADINA;SURGEL;2,56;0,6;1
AGLIO SECCO;CDA;0;1;1
PIAVE MEZZANO;SURGEL;17;1,5;1
PIAVE ORO;SURGEL;20,21;1,5;1
PIZZA ROSSA;SURGEL;0;1;1
PIZZETTINA;SURGEL;54,48;6;1
PIZZOCCHERI;SURGEL;16,56;1,8;1
POLLO INPANATO;SURGEL;30,4;2;1
POLLO PETTO;SURGEL;60,8;4;1
ARANCE;CDA;1,19;1;1
PULLED PORK;CDA;22,5;2,275;1
PROSCIUTTO COTTO;SURGEL;29,56;4;1
PROSCIUTTO COTTO;SURGEL;56,56;8;1
WURSTELL DI MAIALE;CDA;1,17;0,25;1
CIPOLLE;CDA;0,75;1;1
CRAUTI;CDA;0;1;1
PROSCIUTTO COTTO;G. SALUMIFICI;0;4;1
PROSCIUTTO COTTO;G. SALUMIFICI;0;0,12;1
PROSCIUTTO CRUDO;SURGEL;32,67;2,5;1
CREMA ALLE NOCI;CDA;9,9;1,05;1
FAGIOLI;CDA;4,2;1,2;1
