MaterialName;Category;IsUsed;SupplierId;Cost;SizeUnits;QuantityNeeded;Notes
ALLUMINIO 150 METRI 1,60 KG;Unknown;NO;CARTARIA VARESINA;115,2;12;10;
ARGONIT DETERSIVO PIATTI ANTIBATTERICO 5 KG;Unknown;NO;ERRE BI ALBERGHIERA;16,69;5;10;PREZZO AL KG
ARGONIT PULITORE ACCIAIO 0,50 LT;Unknown;NO;ERRE BI ALBERGHIERA;11,51;1;10;PREZZO AL LT
ARGONIT SANITIZZANTE PIANI LAVORO 0,75 LT;Unknown;NO;ERRE BI ALBERGHIERA;4,74;1;10;PREZZO AL LT
ASCIUGAMANI CARTA 2 V ECOLABEL CT 210X15 3150 PZ;Unknown;NO;ERRE BI ALBERGHIERA;9,19;1;10;PREZZO CONFEZIONE DA ? PZ
BICCHIERI CRISTAL 400 CC;Unknown;NO;CDA;2,54;50;10;
BICCHIERI PP 502 TACCA 0,40;Unknown;SI;CARTARIA VARESINA;4,25;40;10;
BICCHIERINI POCCOLO AMARO HAMB;Unknown;SI;CDA;0,75;100;10;PER AMARI/CAFFE NO CUP SOPRA
BOBINA CELLULOSA 2V/800 STRAPPI 25X30 2 ROTOLI;Unknown;SI;CDA;10,67;2;10;
BOBINA CELLULOSA 3V TRIS 70/800 STRAPPI 25X25;Unknown;NO;ERRE BI ALBERGHIERA;10,76;2;10;PREZZO A BOBINA DA 800 STRAPPI 25X25
BOBINA CELLULOSA 3V TRIS 70/800 STRAPPI 25X25 KG 2,8;Unknown;NO;CARTARIA VARESINA;14;2;10;
BOBINA PURA CELLULOSA 2 Veli;875 STRAPPI Kg.2 Rotoli;SI;SAMAR;12,4;2;10;DA VALUTARE IL PREZZO
BRILLA PIATTI LIQUIDO;Unknown;NO;CDA;0,72;1;10;
BRILLA PIATTI LIQUIDO 1,5 LT;Unknown;SI;CDA;0,72;1,5;10;PREZZO AL LT
BRILLANTANTE ACIDO 5 KG.;Unknown;SI;SAMAR;25,6;1;10;
CANDEGGINA METRO 10 LT;Unknown;SI;METRO;4,49;1;10;
CANDEGGINA VEGE';Unknown;SI;CDA;0,67;2;10;
VASCH.CARTONCINO 2P 250PZ BIO;Unknown;SI;CDA;21,19;250;10;
VASCH.CARTONCINO 1P 250PZ BIO;Unknown;SI;CDA;30,65;250;10;
VASCH.CARTONCINO 2P 250PZ BIO;Unknown;NO;CARTARIA VARESINA;30;300;10;
CANNUCCE NERE 15 CM;Unknown;NO;CARTARIA VARESINA;0;1;10;
CANNUCCE PLA NERE 100PZ 21CM SAM. - BIO;Unknown;SI;CDA;1,47;100;10;MI SEMBRA UN PO' POCO IL PREZZO
CARTA CRAFT AVANA 30X20;Unknown;NO;CARTARIA VARESINA;45;2500;10;
CARTA IGENICA MINI JUMBO;Unknown;SI;SAMAR;21,43;12;10;ROTOLO MEDIO DA 600 GRAMMI 2 VELI
CARTA IGIENICA MINI JUMBO;Unknown;NO;ERRE BI ALBERGHIERA;21,64;12;10;PREZZO A ROTOLO
CARTA IGIENICA MINI JUMBO 12 ROTOLI DA 0,50KG;Unknown;NO;CARTARIA VARESINA;18,6;12;10;
CARTA OLEATA BIANCA 20X25 CM;Unknown;NO;CARTARIA VARESINA;32;5000;10;
CARTA OLEATA STILE GIORNALE 20X25 CM;Unknown;NO;CARTARIA VARESINA;0;1;10;
CARTA OLEATA STILE GIORNALE 20X25 CM;Unknown;NO;ERRE BI ALBERGHIERA;16,76;250;10;CARTA UTILIZZATA PER SERVIZIO HAMBURGER
CARTA PAGLIA 29,5 X 19 CM;Unknown;SI;CARTARIA VARESINA;14,96;850;10;
CARTA PAGLIA 29,5 X 19 CM;Unknown;NO;ERRE BI ALBERGHIERA;18,79;250;10;29,5 X 19 GALEONI A META' PER PADINE PATATE 1/4 PER FRITTI
CARTAPAGLIA PORTA *FRITTI GRANDE;300 pz;DA VALUTARE;METRO;13,6;300;10;
CARTAPAGLIA PORTA *FRITTI PICCOLO;500 pz;DA VALUTARE;METRO;13,1;500;10;
CLEAN OXIGEN EXPERT PAVIMENTI 5 LT;Unknown;NO;ERRE BI ALBERGHIERA;10,6;5;10;PREZZO AL LT
CONI PORTAFRITTI PICCOLI;50 PZ CARTONE;SI;METRO;4,29;50;10;
COPRI BICCHIERE TACCA 0,40;Unknown;SI;CARTARIA VARESINA;5,04;80;10;
CUBO FOGLI DI CARTA PER COMANDE;Unknown;SI;METRO;0;1;10;
CUKI ALLUMINIO 150;Unknown;SI;CDA;10,24;150;10;
CUKI PELLICOLA 300 METRI;Unknown;NO;CARTARIA VARESINA;67,2;12;10;A CONFEZIONE
CUKI PELLICOLA 300 METRI;Unknown;SI;CDA;6,82;300;10;COSTO AL METRO
VASCHETTA PORTA HAMBURGER;Unknown;SI;CDA;32,5;250;10;
VASCHETTA PORTA PATATINE;Unknown;SI;CDA;22,53;250;10;
DISGORGANTE;Unknown;SI;CDA;4,48;2;10;
DOMOPAK CARTA DA FORNO - 50 M;Unknown;SI;CDA;5,42;50;10;
FOGLI CARTA PLASTIFICATA;Unknown;SI;CARTOLERIA VIGEZZI;0;100;10;
GUANTI LATTICE MONOUSO;Unknown;SI;CDA;3,5;100;10;
HYGENIK GEL 500 ML - DISINFETTANTE;Unknown;SI;CARTARIA VARESINA;8;0,5;10;CONFEZIONE DA 2
LAVAMANI 5 KG.;Unknown;SI;SAMAR;89,8;8;10;CONFEZIONE DA 5 KG
LAVAPAVIMENTI AMMONIACALE AL PINO PINOSAM Kg.5;Unknown;SI;SAMAR;8,57;1;10;
LAVAPIATTI BIOLESTO;Unknown;SI;CDA;0,43;1,5;10;
